date,open,high,low,close,volume,future_return,label
2026-01-21 15:00:00,89805.43,90574.0,89759.59,90288.04,1074.26054,-0.029313184780619783,Vendre
2026-01-21 16:00:00,90288.04,90360.0,87590.0,87602.4,2075.92566,5.239582477205031e-05,Attendre
2026-01-21 17:00:00,87602.39,88156.47,87263.53,87932.38,1818.07575,-0.0026356616299935166,Attendre
2026-01-21 18:00:00,87932.37,88657.23,87585.05,88485.43,743.38561,-0.0009234288628081692,Attendre
2026-01-21 19:00:00,88485.43,90450.0,88280.55,90355.56,1787.81485,-0.02592391658023032,Vendre
2026-01-21 20:00:00,90355.56,90377.0,89392.0,90214.01,1099.33527,-0.028651758191438267,Vendre
2026-01-21 21:00:00,90214.02,90339.58,89950.36,90249.18,428.70398,-0.02420509527067161,Vendre
2026-01-21 22:00:00,90249.18,90377.0,89752.38,89763.51,414.26891,-0.0180864139559605,Attendre
2026-01-21 23:00:00,89763.51,90212.89,89344.98,89454.73,524.6842,-0.012382240715499272,Attendre
2026-01-22 00:00:00,89454.73,90032.5,89454.72,89908.49,394.22125,-0.017290024557191475,Attendre
2026-01-22 01:00:00,89908.5,90198.51,89826.38,90113.19,341.32729,-0.017340191818755964,Attendre
2026-01-22 02:00:00,90113.2,90359.99,89851.03,89938.3,436.55946,-0.01230510249804585,Attendre
2026-01-22 03:00:00,89938.3,90166.67,89702.84,89899.51,389.70123,-0.012363916110332468,Attendre
2026-01-22 04:00:00,89899.51,90076.77,89826.67,89998.91,327.01022,-0.015770524331905816,Attendre
2026-01-22 05:00:00,89998.91,90075.8,89928.09,90026.3,201.60447,-0.01743934827933615,Attendre
2026-01-22 06:00:00,90026.3,90215.79,89900.0,90172.11,274.11012,-0.020399212128894426,Vendre
2026-01-22 07:00:00,90172.12,90196.99,89802.0,89818.79,410.94787,-0.016682255461245805,Attendre
2026-01-22 08:00:00,89818.79,89968.28,89760.0,89920.16,241.50947,-0.01945436929827523,Attendre
2026-01-22 09:00:00,89920.16,90113.43,89883.8,90033.02,235.39671,-0.02383792079839149,Vendre
2026-01-22 10:00:00,90033.02,90101.83,89960.0,90078.77,307.75831,-0.02544706149961867,Vendre
